region,solar_radiation,date
북춘천,2.2,2022-06-24-10:00
북춘천,3.11,2022-06-24-11:00
북춘천,3.25,2022-06-24-12:00
북춘천,3.31,2022-06-24-13:00
북춘천,2.24,2022-06-24-14:00
북춘천,1.92,2022-06-24-15:00
북춘천,1.39,2022-06-24-16:00
북춘천,0.39,2022-06-24-17:00
북춘천,0.35,2022-06-24-18:00
북춘천,0.32,2022-06-24-19:00
북춘천,0.14,2022-06-24-20:00
북춘천,0.0,2022-06-24-21:00
북춘천,0.0,2022-06-25-00:00
북춘천,0.0,2022-06-25-01:00
북춘천,0.0,2022-06-25-02:00
북춘천,0.0,2022-06-25-03:00
북춘천,0.0,2022-06-25-04:00
북춘천,0.0,2022-06-25-05:00
북춘천,0.03,2022-06-25-06:00
북춘천,0.17,2022-06-25-07:00
북춘천,0.75,2022-06-25-08:00
북춘천,1.82,2022-06-25-09:00
북춘천,1.4,2022-06-25-10:00
북춘천,1.76,2022-06-25-11:00
북춘천,1.64,2022-06-25-12:00
북춘천,2.37,2022-06-25-13:00
북춘천,3.0,2022-06-25-14:00
북춘천,2.89,2022-06-25-15:00
북춘천,2.13,2022-06-25-16:00
북춘천,1.56,2022-06-25-17:00
북춘천,1.1,2022-06-25-18:00
북춘천,0.29,2022-06-25-19:00
북춘천,0.05,2022-06-25-20:00
북춘천,0.0,2022-06-25-21:00
북춘천,0.0,2022-06-26-00:00
북춘천,0.0,2022-06-26-01:00
북춘천,0.0,2022-06-26-02:00
북춘천,0.0,2022-06-26-03:00
북춘천,0.0,2022-06-26-04:00
북춘천,0.0,2022-06-26-05:00
북춘천,0.0,2022-06-26-06:00
북춘천,0.0,2022-06-26-07:00
북춘천,0.01,2022-06-26-08:00
북춘천,0.03,2022-06-26-09:00
북춘천,0.04,2022-06-26-10:00
북춘천,0.06,2022-06-26-11:00
북춘천,0.26,2022-06-26-12:00
북춘천,0.18,2022-06-26-13:00
북춘천,0.38,2022-06-26-14:00
북춘천,0.82,2022-06-26-15:00
북춘천,0.89,2022-06-26-16:00
