"yU1","yU2","yU3","yU4","yU5","yU6","yU7","yU8","yU9","yU10","yU11","yU12","yU13","yU14","yU15","yU16","yU17","yU18","yU19","yU20","yU21","yU22","yU23","yU24","yU25","yU26","yU27","yU28","yU29","yU30","yU31","yU32","yU33","yU34","yU35","yU36","yU37","yU38","yU39","yU40","yU41","yU42","yU43","yU44"
0.9984,1.1928,0.8184,1.1504,2.6188,0.8432,0.8504,1.2216,1.342,0.978400000000001,0.356,0.800400000000002,1.2144,0.4376,0.7332,0.964399999999999,1.1208,0.587199999999999,0.788399999999999,0.996,0.814399999999999,1.7156,0.884399999999999,2.3424,1.3092,1.986,1.9748,0.8384,2.9304,2.9824,0.990399999999999,1.7132,2.4856,0.677199999999999,1.3884,0.8504,0.970799999999999,1.354,1.912,0.885199999999999,1.2972,1.3244,0.8644,0.6404
1.02,1.2376,0.8184,1.1836,2.6876,0.8512,0.856,1.272,1.3928,1.0116,0.353199999999999,0.813600000000001,1.272,0.4488,0.747999999999999,1.002,1.1368,0.576000000000001,0.786799999999999,1.0028,0.832799999999999,1.754,0.8424,2.3792,1.356,2.044,1.9796,0.8748,2.9232,2.9876,1.0272,1.726,2.5188,0.6488,1.4072,0.844799999999999,0.934799999999999,1.4192,1.948,0.909599999999999,1.3344,1.3788,0.870000000000001,0.621599999999999
1.0416,1.2824,0.8184,1.2168,2.7564,0.8592,0.861600000000001,1.3224,1.4436,1.0448,0.3504,0.8268,1.3296,0.460000000000001,0.7628,1.0396,1.1528,0.5648,0.7852,1.0096,0.8512,1.7924,0.8004,2.416,1.4028,2.102,1.9844,0.911200000000001,2.916,2.9928,1.064,1.7388,2.552,0.6204,1.426,0.8392,0.8988,1.4844,1.984,0.933999999999999,1.3716,1.4332,0.8756,0.6028
1.0632,1.3272,0.8184,1.25,2.8252,0.8672,0.8672,1.3728,1.4944,1.078,0.3476,0.840000000000002,1.3872,0.4712,0.7776,1.0772,1.1688,0.553599999999999,0.7836,1.0164,0.8696,1.8308,0.7584,2.4528,1.4496,2.16,1.9892,0.947600000000001,2.9088,2.998,1.1008,1.7516,2.5852,0.591999999999999,1.4448,0.833600000000001,0.8628,1.5496,2.02,0.958399999999999,1.4088,1.4876,0.8812,0.584
1.0848,1.372,0.8184,1.2832,2.894,0.8752,0.8728,1.4232,1.5452,1.1112,0.344799999999999,0.853200000000001,1.4448,0.4824,0.792400000000001,1.1148,1.1848,0.542400000000001,0.782,1.0232,0.888,1.8692,0.7164,2.4896,1.4964,2.218,1.994,0.984,2.9016,3.0032,1.1376,1.7644,2.6184,0.563599999999999,1.4636,0.827999999999999,0.826799999999999,1.6148,2.056,0.982799999999999,1.446,1.542,0.886800000000001,0.565199999999999
1.1064,1.4168,0.8184,1.3164,2.9628,0.8832,0.878400000000001,1.4736,1.596,1.1444,0.342000000000001,0.866400000000001,1.5024,0.493600000000001,0.8072,1.1524,1.2008,0.5312,0.7804,1.03,0.9064,1.9076,0.6744,2.5264,1.5432,2.276,1.9988,1.0204,2.8944,3.0084,1.1744,1.7772,2.6516,0.5352,1.4824,0.8224,0.790799999999999,1.68,2.092,1.0072,1.4832,1.5964,0.8924,0.5464
1.128,1.4616,0.8184,1.3496,3.0316,0.8912,0.884,1.524,1.6468,1.1776,0.3392,0.8796,1.56,0.504799999999999,0.822000000000001,1.19,1.2168,0.52,0.778799999999999,1.0368,0.924799999999999,1.946,0.632399999999999,2.5632,1.59,2.334,2.0036,1.0568,2.8872,3.0136,1.2112,1.79,2.6848,0.5068,1.5012,0.816800000000001,0.754799999999999,1.7452,2.128,1.0316,1.5204,1.6508,0.898000000000001,0.5276
1.1496,1.5064,0.8184,1.3828,3.1004,0.8992,0.889600000000002,1.5744,1.6976,1.2108,0.336399999999999,0.892800000000001,1.6176,0.516,0.8368,1.2276,1.2328,0.508800000000001,0.777199999999999,1.0436,0.943199999999999,1.9844,0.590399999999999,2.6,1.6368,2.392,2.0084,1.0932,2.88,3.0188,1.248,1.8028,2.718,0.478399999999999,1.52,0.811199999999999,0.7188,1.8104,2.164,1.056,1.5576,1.7052,0.903600000000001,0.508799999999999
1.1712,1.5512,0.8184,1.416,3.1692,0.9072,0.895200000000001,1.6248,1.7484,1.244,0.333600000000001,0.906000000000001,1.6752,0.527200000000001,0.851599999999999,1.2652,1.2488,0.4976,0.775599999999999,1.0504,0.961600000000001,2.0228,0.548399999999999,2.6368,1.6836,2.45,2.0132,1.1296,2.8728,3.024,1.2848,1.8156,2.7512,0.449999999999999,1.5388,0.8056,0.682799999999999,1.8756,2.2,1.0804,1.5948,1.7596,0.9092,0.49
1.1928,1.596,0.8184,1.4492,3.238,0.9152,0.9008,1.6752,1.7992,1.2772,0.3308,0.9192,1.7208,0.538400000000001,0.866400000000001,1.3028,1.2648,0.4864,0.773999999999999,1.0572,0.98,2.0612,0.506399999999999,2.6736,1.7304,2.508,2.018,1.1652,2.8656,3.0292,1.3272,1.8284,2.7844,0.4216,1.5576,0.800000000000001,0.646799999999999,1.9352,2.236,1.1048,1.632,1.814,0.914800000000001,0.4712
1.2144,1.6252,0.8184,1.4824,3.2824,0.9232,0.906400000000001,1.7184,1.8,1.3104,0.327999999999999,0.932400000000001,1.75,0.5496,0.8812,1.3404,1.2808,0.475200000000001,0.772399999999999,1.064,1.0084,2.0996,0.464399999999999,2.7104,1.7772,2.566,2.0228,1.1824,2.8584,3.0344,1.3592,1.8412,2.8176,0.393199999999998,1.5764,0.8096,0.610799999999999,1.9788,2.272,1.1364,1.6692,1.8588,0.920400000000001,0.452399999999999
1.22,1.65,0.8184,1.49,3.304,0.9312,0.912000000000001,1.724,1.8,1.3396,0.325200000000001,0.941600000000001,1.75,0.56,0.892800000000001,1.378,1.2968,0.464,0.770799999999999,1.0708,1.0336,2.138,0.449999999999999,2.7472,1.7996,2.624,2.0276,1.1984,2.8512,3.0396,1.3904,1.854,2.8508,0.364799999999999,1.5952,0.828800000000001,0.5876,2.0224,2.308,1.1684,1.7064,1.87,0.926,0.4336
1.22,1.654,0.8184,1.49,3.31,0.9392,0.9176,1.7272,1.8,1.3636,0.322800000000001,0.950800000000001,1.75,0.56,0.9,1.4156,1.3128,0.4648,0.7744,1.0776,1.0588,2.1764,0.449999999999999,2.7976,1.82,2.68,2.0288,1.2144,2.844,3.0448,1.4052,1.8804,2.8808,0.369999999999999,1.62,0.848000000000001,0.596,2.0636,2.338,1.1796,1.74,1.87,0.931600000000001,0.4276
1.22,1.658,0.8184,1.49,3.31,0.9472,0.923200000000001,1.7304,1.8,1.38,0.3248,0.960000000000001,1.75,0.56,0.9,1.4496,1.3288,0.474400000000001,0.789999999999999,1.0856,1.074,2.2064,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.863200000000001,0.603999999999999,2.0892,2.36,1.1908,1.74,1.87,0.937200000000001,0.436399999999999
1.22,1.662,0.82,1.49,3.31,0.9588,0.938400000000001,1.7336,1.8,1.38,0.3268,0.960000000000001,1.75,0.56,0.9,1.4836,1.33,0.4788,0.789999999999999,1.0928,1.08,2.2132,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.878400000000001,0.612,2.09,2.36,1.2,1.74,1.87,0.952400000000001,0.44
1.22,1.666,0.82,1.49,3.31,0.974400000000001,0.960000000000001,1.7368,1.8,1.38,0.328799999999999,0.960000000000001,1.75,0.56,0.9,1.51,1.33,0.48,0.789999999999999,1.1,1.08,2.22,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.890000000000001,0.619999999999999,2.09,2.36,1.2,1.74,1.87,0.960000000000001,0.44
1.22,1.67,0.82,1.49,3.31,0.98,0.960000000000001,1.74,1.8,1.38,0.33,0.960000000000001,1.75,0.56,0.9,1.51,1.33,0.48,0.789999999999999,1.1,1.08,2.22,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.890000000000001,0.619999999999999,2.09,2.36,1.2,1.74,1.87,0.960000000000001,0.44
1.22,1.67,0.82,1.49,3.31,0.98,0.960000000000001,1.74,1.8,1.38,0.33,0.960000000000001,1.75,0.56,0.9,1.51,1.33,0.48,0.789999999999999,1.1,1.08,2.22,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.890000000000001,0.619999999999999,2.09,2.36,1.2,1.74,1.87,0.960000000000001,0.44
1.22,1.67,0.82,1.49,3.31,0.98,0.960000000000001,1.74,1.8,1.38,0.33,0.960000000000001,1.75,0.56,0.9,1.51,1.33,0.48,0.789999999999999,1.1,1.08,2.22,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.890000000000001,0.619999999999999,2.09,2.36,1.2,1.74,1.87,0.960000000000001,0.44
1.22,1.67,0.82,1.49,3.31,0.98,0.960000000000001,1.74,1.8,1.38,0.33,0.960000000000001,1.75,0.56,0.9,1.51,1.33,0.48,0.789999999999999,1.1,1.08,2.22,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.890000000000001,0.619999999999999,2.09,2.36,1.2,1.74,1.87,0.960000000000001,0.44
1.22,1.67,0.82,1.49,3.31,0.98,0.960000000000001,1.74,1.8,1.38,0.33,0.960000000000001,1.75,0.56,0.9,1.51,1.33,0.48,0.789999999999999,1.1,1.08,2.22,0.449999999999999,2.84,1.82,2.68,2.03,1.22,2.86,3.05,1.42,1.89,2.89,0.369999999999999,1.62,0.890000000000001,0.619999999999999,2.09,2.36,1.2,1.74,1.87,0.960000000000001,0.44
